what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520068523279
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520068524597
executed,command,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar",1520068524618
started,bundle,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser",1520068528479
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520068528752
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520068535932
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1520068540712
error,log,,,"Resource is out of sync with the file system: '/OIRP_WEB/index.php'.",1520068540771
opened,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1520068540861
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1520068540909
executed,command,org.eclipse.php.server.ui,2.2.0.v20101001-2300,"org.eclipse.php.server.ui.phpServerShortcut.run",1520068545133
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520068545251
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520068579173
executed,command,org.eclipse.php.server.ui,2.2.0.v20101001-2300,"org.eclipse.php.server.ui.phpServerShortcut.run",1520068589132
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520068589243
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520068590791
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520068594178
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520068605053
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520068605177
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520068630719
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520068631178
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520068631568
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520068632054
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520068643392
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520068648426
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520068649423
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520068649776
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520068674695
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1520068677634
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520068679296
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520068705234
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520068707965
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520068708467
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520068711774
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520068712824
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520068714480
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520068720910
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520068728939
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520068793641
