what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520077296028
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1520077296501
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520077297151
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520077324066
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520077345971
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520077348909
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520077350946
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520077352092
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520077354490
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520077355773
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520077357539
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520077358757
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520077374787
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520077376229
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520077380581
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520077381473
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520077382279
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520077382605
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520077383245
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520077384582
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520077389229
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520077391784
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1520077412128
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1520077439482
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1520077440968
